Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,Price
811,78,1.014,6,6,1974,0.663,0,1.04,1.309,0,0,1.309,1,1,1,3,1,5,1,2,0.484,2.65,0,0,1,1.81
665,49,2.0896,8,5,2005,1.721,0.356,2.077,2.097,0,0,2.097,1,1,1,1,1,8,1,3,1.134,1.92,2.67,0,1,4.23
303,118,1.3704,7,5,2001,0,1.541,1.541,1.541,0,0,1.541,0,2,0,3,1,6,1,3,0.843,4.68,0.81,0,1,2.05
142,78,1.1645,7,5,2005,1.3,0.434,1.734,1.734,0,0,1.734,1,2,0,3,1,7,0,2,0.66,1.6,0.24,0,1,2.6
1041,88,1.3125,5,4,1957,0.168,0.284,1.134,1.803,0,0,1.803,1,2,0,3,1,8,1,2,0.484,0,0,0,1,1.55
412,100,3.465,5,5,1955,1.056,0,1.056,1.056,0,0,1.056,1,1,0,3,1,5,0,2,0.572,2.64,0,0,1,1.45
1405,60,1.041,3,4,1915,0,0.672,0.672,0.694,0.52,0,1.214,0,1,0,3,1,6,0,3,0.936,2.16,0,1.6,1,1.05
223,85,1.1475,6,6,1975,0.55,0.163,0.713,0.811,0.741,0,1.552,1,2,1,3,1,6,1,2,0.434,2.09,2.08,0,2,1.799
603,80,1.0041,8,5,1992,0.789,0.119,0.908,0.927,0.988,0,1.915,1,2,1,3,1,8,1,2,0.506,1.2,1.5,0,2,2.2
949,65,1.4006,7,5,2002,0,0.936,0.936,0.936,0.84,0,1.776,0,2,1,3,1,7,1,2,0.474,1.44,0.96,0,2,1.925
1168,58,1.0852,6,5,2000,0.786,0.173,0.959,0.959,0.712,0,1.671,1,2,1,3,1,7,1,2,0.472,0,0.38,0,2,1.73
893,70,0.8414,6,8,1963,0.663,0.396,1.059,1.068,0,0,1.068,0,1,0,3,1,6,0,1,0.264,1.92,0,0,2,1.545
256,66,0.8738,7,5,1999,0,0.975,0.975,1.005,1.286,0,2.291,0,2,1,4,1,8,1,2,0.429,1.92,0,0,2,2.3
4,60,0.955,7,5,1915,0.216,0.54,0.756,0.961,0.756,0,1.717,1,1,0,3,1,7,1,3,0.642,0,0.35,2.72,2,1.4
198,174,2.5419,8,4,1918,1.036,0.14,1.36,1.36,1.36,392,3.112,1,2,0,4,1,8,1,2,0.795,0,0.16,5.52,3,2.35
160,134,1.9378,7,5,2005,0.057,1.335,1.392,1.392,1.07,0,2.462,1,2,1,4,1,9,1,2,0.576,2.39,1.32,0,3,3.2
82,32,0.45,6,5,1998,1.201,0.036,1.237,1.337,0,0,1.337,1,2,0,2,1,5,0,2,0.405,0,1.99,0,3,1.535
884,60,0.6204,4,5,1912,0,0.795,0.795,0.954,0.795,481,2.23,1,1,0,5,1,10,0,1,0.44,0,1.88,0,3,1.185
1084,80,0.88,6,6,1964,0.553,0.698,1.251,1.251,0,0,1.251,1,1,0,3,1,6,2,1,0.461,0,1.16,0,3,1.6
481,98,1.6033,9,5,2004,1.261,0.572,1.833,1.85,0,0,1.85,1,2,0,3,1,8,1,3,0.772,5.19,1.12,0,3,3.26
586,88,1.1443,8,5,2005,1.46,0.408,1.868,2.028,0,0,2.028,1,2,0,2,1,7,2,3,0.88,3.26,0.66,0,3,3.699
754,80,1.024,8,5,2005,0,1.03,1.03,1.038,1.06,0,2.098,0,2,1,3,1,8,1,3,0.878,1.92,0.52,0,3,2.755
1247,65,0.8125,7,5,2005,0,0.756,0.756,0.756,0.797,0,1.553,0,2,1,3,1,6,0,2,0.615,0,0.45,0,3,1.865
512,40,0.6792,7,5,2005,0,1.368,1.368,1.368,0,0,1.368,0,2,0,2,1,6,1,2,0.474,1.32,0.35,0,3,2.02665
1266,35,0.3735,7,5,1999,0.45,0.241,0.691,0.713,0.739,0,1.452,1,2,1,3,1,6,0,2,0.506,0,0.34,0,3,1.839
970,75,1.0382,6,5,1958,0.513,0.075,0.588,1.095,0,0,1.095,1,1,0,2,1,6,0,1,0.264,0,0,0,3,1.4
417,74,0.7844,6,7,1978,0.209,0.463,0.672,0.672,0.728,0,1.4,0,1,1,3,1,6,1,2,0.44,0,0,0,3,1.495
1239,63,1.3072,6,5,2005,0,1.141,1.141,1.141,0,0,1.141,0,1,1,3,1,6,0,2,0.484,0,0,0,3,1.425
599,80,1.2984,5,6,1977,1.283,0,1.43,1.647,0,0,1.647,1,2,0,3,1,7,1,2,0.621,0,0,0,3,2.175
947,70,0.8163,5,6,1959,0.748,0.102,1.144,1.144,0,0,1.144,1,1,0,3,1,6,1,1,0.796,0.86,0,0,3,1.43
220,43,0.301,7,5,2005,0.016,1.232,1.248,1.248,0,0,1.248,0,2,0,2,1,5,0,2,0.438,1.08,0,0,3,1.6724
296,37,0.7937,6,6,1984,0.819,0.184,1.003,1.003,0,0,1.003,1,1,0,3,1,6,0,2,0.588,1.2,0,0,3,1.425
155,84,1.134,6,5,1923,0,1.2,1.2,1.2,0,0,1.2,0,1,0,4,1,7,0,1,0.312,0,0,2.28,3,1.25
1186,60,0.9738,5,7,1924,0.392,0.392,0.784,0.949,0.272,0,1.221,1,1,0,4,1,7,0,1,0.392,0,0,2.36,3,1.049
1294,78,1.014,7,5,1976,0.194,0.638,0.832,0.832,0.832,0,1.664,0,2,1,4,1,8,1,2,0.528,0,0.28,0,3,1.629
1365,30,0.318,7,5,2005,0,0.6,0.6,0.52,0.6,80,1.2,0,2,1,2,1,4,0,2,0.48,0,1.66,0,4,1.44152
526,62,0.75,7,5,2005,0,1.257,1.257,1.266,0,0,1.266,0,2,0,3,1,6,1,2,0.453,0.38,1.44,0,4,1.76
1090,37,0.3316,8,5,2005,1.039,0.208,1.247,1.247,0,0,1.247,1,1,1,1,1,4,1,2,0.55,0,0.84,0,4,1.97
86,121,1.6059,8,5,1991,0,1.288,1.288,1.301,1.116,0,2.417,0,2,1,4,1,9,1,2,0.462,1.27,0.82,0,4,2.6
1304,73,0.8688,7,5,2005,0,1.616,1.616,1.616,0,0,1.616,0,2,0,3,1,7,0,3,0.834,2.08,0.59,0,4,2.32
328,80,1.16,6,5,1960,0.565,0.818,1.383,1.383,0,0,1.383,0,1,1,3,1,7,0,1,0.292,0,0.45,0,4,1.4525
1305,32,0.3363,7,5,2004,0,0.976,0.976,0.976,0.732,0,1.708,0,2,0,3,1,7,0,2,0.38,0,0.4,0,4,1.3
1089,24,0.2522,7,5,2004,0,0.97,0.97,0.97,0.739,0,1.709,0,2,0,3,1,7,0,2,0.38,0,0.4,0,4,1.375
146,24,0.2522,6,5,2004,0,0.97,0.97,0.97,0.739,0,1.709,0,2,0,3,1,7,0,2,0.38,0,0.4,0,4,1.3
562,77,1.001,5,5,1974,1.071,0.195,1.389,1.389,0,0,1.389,1,1,0,2,1,6,1,2,0.418,2.4,0.38,0,4,1.7
221,73,0.899,7,5,2006,0,1.498,1.498,1.498,0,0,1.498,0,2,0,2,1,5,0,2,0.675,3.51,0.33,0,4,2.049
897,50,0.8765,4,6,1936,0.285,0.666,0.951,0.951,0,0,0.951,0,1,0,2,1,6,0,1,0.327,0,0.28,0,4,1.065
693,42,2.6178,7,5,1989,0.965,0.245,1.21,1.238,1.281,0,2.519,1,2,1,4,1,9,2,2,0.628,3.2,0.27,0,4,3.35
1077,60,1.08,5,8,1936,0.626,0.17,0.796,1.096,0.37,0,1.466,0,2,0,3,1,7,1,2,0.566,4.36,0.21,0,4,1.7
1020,43,0.3013,7,5,2005,0.016,1.346,1.362,1.506,0,0,1.506,0,2,0,2,1,6,1,2,0.44,1.42,0.2,0,4,2.1349
772,67,0.8877,4,5,1951,0.836,0,0.836,1.22,0,0,1.22,0,1,0,2,1,6,0,2,0.396,0,0,0,4,1.02
1295,60,0.8172,5,7,1955,0.167,0.697,0.864,0.864,0,0,0.864,1,1,0,2,1,5,0,2,0.572,0,0,0,4,1.15
350,56,2.0431,9,5,2005,1.41,0.438,1.848,1.848,0.88,0,2.728,1,2,1,4,1,10,2,3,0.706,0,0,0,4,4.37154
243,63,0.5,5,4,1900,0,0.54,0.54,0.889,0.551,0,1.44,0,1,0,3,1,6,0,1,0.352,0,0,0.77,4,0.79
